,0
diabmelwcm,2.7319669612288165e-05
otconntiss,2.726538618745615e-05
suicideandintentionalselfinflictedin,2.7046014019258344e-05
mri_count,2.6782620762959796e-05
cc_bodyfluidexposure,2.658975643180623e-05
ovariancyst,2.5845850075539417e-05
urinstone,2.57790357987511e-05
cc_headache-recurrentorknowndxmigraines,2.5576942806940246e-05
cc_armpain,2.542197707606661e-05
cc_urinarytractinfection,2.5378195911736317e-05
cc_follow-upcellulitis,2.5375872630266058e-05
uti,2.5051265076935396e-05
cc_alcoholproblem,2.4556424103935662e-05
viralinfect,2.4265532211440133e-05
cc_fingerinjury,2.417127129342182e-05
eyeinfectn,2.3913891006152014e-05
cc_palpitations,2.3370594113665655e-05
otbnignneo,2.320610797968438e-05
chestpain,2.2883536784270774e-05
abdomhernia,2.2539078440378212e-05
menstrualdx,2.2152572566358394e-05
goutotcrys,2.1842719404452712e-05
brnchlngca,2.158223367733779e-05
gihemorrhag,2.1494254171467356e-05
cc_assaultvictim,2.129397131926207e-05
cc_medicationrefill,2.092123635978634e-05
nauseavomit,2.0721493443147796e-05
cc_vaginalbleeding,2.0407213017445262e-05
cc_handpain,2.0308506003834298e-05
cc_syncope,2.0266888420409717e-05
cc_fever-75yearsorolder,2.019910713806313e-05
prostatecan,1.9848864131621524e-05
cc_anklepain,1.9750739904243447e-05
otupprresp,1.974913962029948e-05
cc_asthma,1.968699440998352e-05
otbonedx,1.9653133702912843e-05
othereardx,1.939185441645223e-05
nonepithca,1.9257704377207374e-05
fatigue,1.9072026047757148e-05
miscellaneousmentalhealthdisorders,1.8955108303424254e-05
glucoseua_last,1.8941686717149685e-05
fluidelcdx,1.893772425982386e-05
sexualinfxs,1.8806185752559275e-05
abdomnlpain,1.8525427659521165e-05
bnignutneo,1.841803223189511e-05
dizziness,1.8311647883789926e-05
cc_eyeproblem,1.8206767574133168e-05
fxleg,1.7714755820686254e-05
endometrios,1.7548825763992082e-05
cc_constipation,1.745663903932975e-05
cc_urinaryretention,1.7401697803403014e-05
nephritis,1.7264215984845497e-05
otfemalgen,1.7212079959938732e-05
biliarydx,1.715502600375153e-05
cc_handinjury,1.703842243390571e-05
glaucoma,1.6746343204492246e-05
coaghemrdx,1.6627926052737838e-05
othskindx,1.6583781655658508e-05
intobstruct,1.6525076213660073e-05
sicklecell,1.642343815355423e-05
carditis,1.637435067051917e-05
nutritdefic,1.6354151956254443e-05
meds_pre-natalvitamins,1.6031127454512167e-05
cc_extremitylaceration,1.5946067037315196e-05
ketonesua_last,1.5874826541245465e-05
cc_maleguproblem,1.584067854665274e-05
tia,1.5758148544883358e-05
immunizscrn,1.5647988114966054e-05
intracrninj,1.54304035866685e-05
infectarth,1.537751126998282e-05
otuprspin,1.5291805824610134e-05
cc_hypotension,1.5151156806285127e-05
otinflskin,1.4839671175635116e-05
uteruscancr,1.479116830507015e-05
jointinjury,1.4603170966716193e-05
cc_breathingdifficulty,1.4412643203366902e-05
otherscreen,1.4221079130269555e-05
cc_legswelling,1.420228524603649e-05
developmentaldisorders,1.3854239684108457e-05
parkinsons,1.3800506975013418e-05
cc_dizziness,1.3745767731111726e-05
cc_hippain,1.3700952570607494e-05
pid,1.3523095176419256e-05
cc_hematuria,1.325563824533153e-05
othinfectns,1.3116100192506787e-05
cc_hallucinations,1.311153526169279e-05
otdxbladdr,1.3092307931761435e-05
cc_medicationproblem,1.3032636523737835e-05
othmalegen,1.2957027071731333e-05
breastcancr,1.2893372415658169e-05
aneurysm,1.2845491765548105e-05
cc_skinirritation,1.276170817686758e-05
hivinfectn,1.2744639654926512e-05
rheumarth,1.2645523361779883e-05
cc_shoulderinjury,1.264519065554313e-05
impulsecontroldisordersnec,1.2628332550427303e-05
cc_cardiacarrest,1.262129949727583e-05
teethdx,1.260692427513804e-05
sle,1.2540402789680744e-05
cc_agitation,1.2528093130365733e-05
contraceptiv,1.2465900586451867e-05
nitriteua_last,1.2439502274667203e-05
cc_headachere-evaluation,1.2325185586408759e-05
otendodsor,1.2256163229635674e-05
gastritis,1.2252629161554882e-05
ecodesmotorvehicletrafficmvt,1.2244359078888168e-05
syncope,1.2175338529809704e-05
cc_dyspnea,1.2113862232808427e-05
cc_headache,1.2034897625016163e-05
pleurisy,1.2005828966760125e-05
othbactinf,1.1908617966659037e-05
otconganom,1.1861353863475303e-05
neoplsmunsp,1.1804194408133291e-05
cc_dysuria,1.1749464275061435e-05
sprain,1.1594053062830557e-05
intestinfct,1.1491202772523311e-05
coloncancer,1.1445082534319593e-05
retinaldx,1.1435364401839126e-05
otaftercare,1.1424906448900324e-05
skininfectn,1.1303064463442342e-05
cc_medicalproblem,1.1246704255352096e-05
cc_facialswelling,1.120375625583532e-05
precereoccl,1.1160780977181825e-05
breastdx,1.1137484419624702e-05
disordersusuallydiagnosedininfancych,1.1090152903473278e-05
cc_panicattack,1.1017872109429073e-05
ms,1.096543526599607e-05
2ndarymalig,1.0904114927480336e-05
meningitis,1.0624258414500005e-05
"urineculture,routine_npos",1.0581362800616917e-05
otitismedia,1.0569121383061432e-05
gasduoulcer,1.0521509410740368e-05
mycoses,1.0492267862901724e-05
mouthdx,1.0484746449345324e-05
cc_diarrhea,1.0439207374186072e-05
poisnotmed,1.043174176771993e-05
complicproc,1.0425350892799886e-05
hemmorhoids,1.0403172860932298e-05
cc_homicidal,1.037764348745703e-05
skinmelanom,1.031080320113227e-05
septicemia,1.0229757520149926e-05
dminpreg,1.0228036465886696e-05
cc_abdominalpainpregnant,1.0204311782582956e-05
othercvd,1.0006682343776681e-05
othheartdx,9.97485094262102e-06
fxarm,9.920628815887437e-06
paralysis,9.898413342974586e-06
cc_abscess,9.890806270213078e-06
othveindx,9.857456876024235e-06
blindness,9.84365643297447e-06
cc_footinjury,9.829677711892702e-06
cc_ankleinjury,9.775240311525869e-06
othfracture,9.73237519099684e-06
otheredcns,9.70827977657271e-06
acrenlfail,9.666320765357523e-06
ulcerskin,9.6643675008964e-06
cc_rectalpain,9.62459168506016e-06
cervixcancr,9.608884547484941e-06
cc_groinpain,9.507665747522771e-06
cc_overdose-intentional,9.443460761965514e-06
gastroent,9.391242139011231e-06
cc_woundcheck,9.374361106178749e-06
cc_elbowpain,9.359095381546465e-06
cc_wristpain,9.302015226774999e-06
cardiaarrst,9.269306463463394e-06
whtblooddx,9.187874105667981e-06
meds_analgesicandantihistaminecombination,9.092018793988994e-06
cc_femaleguproblem,8.99933456795411e-06
